,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2022-10-13 02:28:59.363000+00:00,99983.85040000,0.03006000,99983.82034000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,100000.06000000,0.00000000,100000.06000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,99983.85040000,0.00000000,99983.85040000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,100000.06000000,0.00000000,100000.06000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,99983.84239000,8.18233200,99975.66005800,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,100000.09000000,0.00000000,100000.09000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,99975.82438000,0.00000000,99975.82438000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,100000.09000000,0.00000000,100000.09000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:30:23.173000+00:00,99975.82438000,0.03006000,99975.79432000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,100000.09000000,0.00000000,100000.09000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,99975.82438000,0.00000000,99975.82438000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,100000.09000000,0.00000000,100000.09000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,99975.81640000,8.16700140,99967.64939860,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,100000.12000000,0.00000000,100000.12000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,99967.82842000,0.00000000,99967.82842000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,100000.12000000,0.00000000,100000.12000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:32:23.130000+00:00,99967.82842000,0.03006000,99967.79836000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,100000.12000000,0.00000000,100000.12000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,99967.82842000,0.00000000,99967.82842000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,100000.12000000,0.00000000,100000.12000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,99967.82047000,8.15197140,99959.66849860,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,100000.15000000,0.00000000,100000.15000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,99959.86252000,0.00000000,99959.86252000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,100000.15000000,0.00000000,100000.15000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 06:40:58.170000+00:00,99959.86252000,0.03006000,99959.83246000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,100000.15000000,0.00000000,100000.15000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,99959.86252000,0.00000000,99959.86252000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,100000.15000000,0.00000000,100000.15000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,99959.85460000,8.13664080,99951.71795920,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,100000.18000000,0.00000000,100000.18000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,99951.92668000,0.00000000,99951.92668000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,100000.18000000,0.00000000,100000.18000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 07:12:02.477000+00:00,99951.92668000,0.03006000,99951.89662000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
