position_id,account_id,opening_order_id,closing_order_id,strategy_id,instrument_id,entry,side,peak_qty,ts_opened,ts_closed,duration_ns,avg_px_open,avg_px_close,realized_return,realized_pnl,commissions
BNBUSDT.BINANCE-MarketMaker-000-91274476-2c46-427c-b5b8-3bd8a5efdd80,BINANCE-001,O-20221013-000000-001-000-1,O-20221013-000000-001-000-2,MarketMaker-000,BNBUSDT.BINANCE,BUY,FLAT,0.030000,2022-10-13 00:00:00.029000+00:00,2022-10-13 00:00:00.029000+00:00,0,270.0,270.0,0.0,-0.01620000 USDT,['0.01620000 USDT']
BNBUSDT.BINANCE-MarketMaker-000-b661ed35-fc60-46ef-b29e-d638f0a08b5d,BINANCE-001,O-20221013-000356-001-000-4,O-20221013-000356-001-000-3,MarketMaker-000,BNBUSDT.BINANCE,SELL,FLAT,0.030000,2022-10-13 00:03:56.055000+00:00,2022-10-13 00:14:43.511000+00:00,647456000000,271.0,270.0,0.00369,-0.00243000 USDT,['0.01623000 USDT']
BNBUSDT.BINANCE-MarketMaker-000-d6017307-c06d-429f-9cbd-83fb03fddb92,BINANCE-001,O-20221013-010157-001-000-6,O-20221013-010157-001-000-5,MarketMaker-000,BNBUSDT.BINANCE,SELL,FLAT,0.030000,2022-10-13 01:01:57.189000+00:00,2022-10-13 01:37:21.559000+00:00,2124370000000,272.0,270.0,0.00735,0.04131000 USDT,['0.01626000 USDT']
